"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2025-11-30,"GR",420.99,"0.01",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",479.975,"0.025",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",533,"0.05",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",605,"0.1",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",655.85,"0.15",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",703,"0.2",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",747.75,"0.25",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",796,"0.3",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",851,"0.35",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",919,"0.4",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",999.55,"0.45",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1111.5,"0.5",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1208,"0.55",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1271,"0.6",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1322,"0.65",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1373,"0.7",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1422,"0.75",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1467.2,"0.8",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1521.15,"0.85",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1587,"0.9",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1680,"0.95",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1758.025,"0.975",2025-12-17,"quantile","hospital admissions",-1
2025-11-30,"GR",1836.05,"0.99",2025-12-17,"quantile","hospital admissions",-1
2025-12-07,"CZ",11,"0.01",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",13,"0.025",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",15.95,"0.05",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",18,"0.1",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",20,"0.15",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",22,"0.2",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",24,"0.25",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",25,"0.3",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",27,"0.35",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",28,"0.4",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",30,"0.45",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",31,"0.5",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",32,"0.55",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",34,"0.6",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",35,"0.65",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",37,"0.7",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",38.2500000000005,"0.75",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",40,"0.8",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",43,"0.85",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",46,"0.9",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",50,"0.95",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",54,"0.975",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"CZ",59,"0.99",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",451.98,"0.01",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",501,"0.025",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",553,"0.05",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",632,"0.1",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",689.85,"0.15",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",741,"0.2",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",797.75,"0.25",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",852,"0.3",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",909.65,"0.35",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",980.6,"0.4",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1065,"0.45",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1148,"0.5",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1218,"0.55",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1274,"0.6",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1320,"0.65",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1366,"0.7",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1408,"0.75",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1452,"0.8",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1504,"0.85",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1563,"0.9",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1647.05,"0.95",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1717.025,"0.975",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"GR",1793.01,"0.99",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",25,"0.01",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",27,"0.025",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",29,"0.05",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",31,"0.1",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",33,"0.15",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",34,"0.2",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",36,"0.25",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",37,"0.3",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",38,"0.35",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",38,"0.4",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",39,"0.45",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",40,"0.5",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",41,"0.55",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",42,"0.6",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",43,"0.65",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",44,"0.7",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",45,"0.75",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",46,"0.8",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",48,"0.85",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",50,"0.9",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",53,"0.95",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",55,"0.975",2025-12-17,"quantile","hospital admissions",0
2025-12-07,"LV",59,"0.99",2025-12-17,"quantile","hospital admissions",0
2025-12-14,"CZ",6,"0.01",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",8,"0.025",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",10,"0.05",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",12,"0.1",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",14,"0.15",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",15,"0.2",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",17,"0.25",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",18,"0.3",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",19,"0.35",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",21,"0.4",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",22,"0.45",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",23,"0.5",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",25,"0.55",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",26,"0.6",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",28,"0.65",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",29,"0.7",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",31,"0.75",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",33,"0.8",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",35,"0.85",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",38,"0.9",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",43,"0.95",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",47,"0.975",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"CZ",51,"0.99",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",3,"0.01",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",4,"0.025",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",5,"0.05",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",6,"0.1",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",6,"0.15",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",7,"0.2",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",7,"0.25",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",8,"0.3",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",8,"0.35",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",9,"0.4",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",9,"0.45",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",10,"0.5",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",10,"0.55",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",11,"0.6",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",11,"0.65",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",12,"0.7",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",12,"0.75",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",13,"0.8",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",14,"0.85",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",15,"0.9",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",16,"0.95",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",18,"0.975",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"EE",19,"0.99",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",27,"0.01",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",29.975,"0.025",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",32,"0.05",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",34,"0.1",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",35,"0.15",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",37,"0.2",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",38,"0.25",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",39,"0.3",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",40,"0.35",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",41,"0.4",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",42,"0.45",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",43,"0.5",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",44,"0.55",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",45,"0.6",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",46,"0.65",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",47,"0.7",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",48,"0.75",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",49,"0.8",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",51,"0.85",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",53,"0.9",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",56,"0.95",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",59,"0.975",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"LV",62,"0.99",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",0,"0.01",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",0,"0.025",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",0,"0.05",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",0,"0.1",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",1,"0.15",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",1,"0.2",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",1,"0.25",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",1,"0.3",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",2,"0.35",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",2,"0.4",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",2,"0.45",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",3,"0.5",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",3,"0.55",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",3,"0.6",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",4,"0.65",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",4,"0.7",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",5,"0.75",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",5,"0.8",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",6,"0.85",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",7,"0.9",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",8,"0.95",2025-12-17,"quantile","hospital admissions",1
2025-12-14,"MT",9,"0.975",2025-12-17,"quantile","hospital admissions",1
