origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.01,2.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.01,5.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.01,0.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.01,1.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.01,0.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.01,0.0
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.025,2.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.025,5.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.025,1.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.025,1.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.025,0.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.025,0.0
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.05,3.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.05,5.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.05,2.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.05,1.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.05,0.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.05,0.0
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.1,5.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.1,5.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.1,3.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.1,2.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.1,1.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.1,1.0
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.15,5.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.15,5.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.15,3.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.15,2.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.15,1.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.15,1.0
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.2,6.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.2,6.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.2,3.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.2,3.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.2,2.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.2,1.0
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.25,6.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.25,6.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.25,4.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.25,3.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.25,2.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.25,1.0
2025-10-01,hospital admissions,2025-09-14,-1,CZ,quantile,0.3,7.0
2025-10-01,hospital admissions,2025-09-21,0,CZ,quantile,0.3,6.0
2025-10-01,hospital admissions,2025-09-28,1,CZ,quantile,0.3,4.0
2025-10-01,hospital admissions,2025-10-05,2,CZ,quantile,0.3,3.0
2025-10-01,hospital admissions,2025-10-12,3,CZ,quantile,0.3,2.0
2025-10-01,hospital admissions,2025-10-19,4,CZ,quantile,0.3,2.0
