origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.01,21.85085939135046
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.025,22.12745303368808
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.05,22.610240480367008
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.1,23.28348569758477
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.15,24.22607160607064
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.2,24.843214370633163
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.25,25.50683527625536
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.3,26.52589783318876
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.35,27.42757972877416
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.4,28.20674408030502
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.45,28.97343427723045
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.5,30.136755147696444
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.55,31.354356724400706
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.6,32.325023292443454
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.65,33.20265122936433
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.7,34.08779577627772
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.75,35.13762927675907
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.8,36.38295291730152
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.85,37.1760522499302
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.9,38.07597790274877
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.95,39.04959655417419
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.975,39.6841280992625
2025-12-17,hospital admissions,-1,2025-11-30,CZ,quantile,0.99,39.985944318970425
2025-12-17,hospital admissions,0,2025-12-07,CZ,quantile,0.01,13.500316919957848
