origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.01,8.51864720704282
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.025,8.72384958141539
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.05,9.06585353870301
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.1,9.749861453278248
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.15,10.433869367853484
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.2,11.117877282428722
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.25,11.80188519700396
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.3,12.485893111579198
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.35,13.23905155650247
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.4,14.130511062121816
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.45,15.021970567741164
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.5,15.913430073360509
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.55,16.804889578979854
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.6,17.6963490845992
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.65,18.587808590218547
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.7,19.10918289549653
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.75,19.44551460060385
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.8,19.781846305711166
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.85,20.11817801081848
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.9,20.454509715925795
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.95,20.790841421033107
2026-03-11,hospital admissions,-1,2026-02-22,CZ,quantile,0.975,20.959007273586767
