origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.01,21.24664123759604
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.025,23.844261805257418
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.05,26.22316125317812
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.1,33.40070392856311
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.15,36.7587351510692
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.2,38.73677189406419
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.25,40.22919371415356
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.3,44.13931324600718
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.35,47.784266833656346
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.4,50.31863086183059
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.45,53.666448174124575
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.5,56.46153022370345
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.55,59.35525999986093
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.6,62.55348838446795
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.65,63.67696626756516
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.7,68.29790545330964
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.75,74.34050095846776
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.8,81.2857571933529
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.85,88.4669393592889
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.9,94.27995116392604
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.95,102.103423391677
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.975,109.7964261200568
2025-12-24,hospital admissions,2025-12-07,-1,IE,quantile,0.99,115.08142612005688
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.01,20.745645045286228
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.025,28.26294030751586
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.05,30.2265403867214
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.1,37.17001831651035
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.15,41.43844192354993
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.2,46.10638049378595
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.25,49.95448463374121
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.3,52.07973910340375
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.35,55.854376077215136
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.4,57.14125135892702
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.45,58.818993428445175
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.5,60.48575228101598
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.55,64.20992910836691
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.6,66.37566961681357
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.65,70.89637732264102
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.7,74.8794872352415
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.75,77.27657907038862
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.8,79.27625583648405
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.85,82.60370082350465
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.9,85.88896000679098
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.95,94.37914370300898
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.975,103.49979376421864
2025-12-24,hospital admissions,2025-12-14,0,IE,quantile,0.99,113.81831137298136
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.01,15.176051957221434
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.025,22.01140618125501
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.05,23.82892900740209
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.1,24.789443047438294
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.15,30.42105060638532
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.2,35.621015122949984
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.25,41.094871913562365
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.3,44.78182280047685
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.35,47.555418813761776
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.4,49.33671456961685
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.45,50.14184679692083
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.5,52.77469635112104
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.55,54.81891366015061
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.6,56.07142612005687
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.65,59.39260495283481
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.7,63.732973958065024
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.75,66.87609721678145
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.8,73.45073594231582
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.85,81.55969660985552
2025-12-24,hospital admissions,2025-12-21,1,IE,quantile,0.9,92.44197951281156
