origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.01,0
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.025,0
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.05,0
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.1,3.462314058638352
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.15,8.46054186508566
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.2,12.08248407032523
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.25,15.057189163930945
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.3,17.961919046501865
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.35,20.74146775201115
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.4,23.227687227259196
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.45,25.66132740325657
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.5,28.001733221137236
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.55,30.303456556312284
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.6,32.723799391492456
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.65,35.03202013361357
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.7,37.72119936402878
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.75,40.465559164801505
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.8,43.655586836356946
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.85,47.3712146393776
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.9,52.28660087998253
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.95,58.46207049599877
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.975,64.19481440660323
2025-12-10,hospital admissions,2025-12-07,1,CZ,quantile,0.99,69.7981889480244
2025-12-10,hospital admissions,2025-12-07,1,CZ,median,,28.001733221137236
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.01,0
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.025,0
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.05,0
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.1,0
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.15,0
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.2,0
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.25,0.89254698843488
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.3,6.78352092916295
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.35,11.998547345561203
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.4,17.010316317620546
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.45,22.0317339807293
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.5,26.865713632513234
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.55,31.3950046137428
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.6,36.22335883065176
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.65,40.69950457663061
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.7,46.15338156326915
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.75,51.617630936396594
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.8,57.77285752646097
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.85,65.05642376560299
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.9,74.34555270551185
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.95,87.33023721445095
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.975,98.64742974269501
2025-12-10,hospital admissions,2025-12-14,2,CZ,quantile,0.99,111.40503961269236
2025-12-10,hospital admissions,2025-12-14,2,CZ,median,,26.865713632513234
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.01,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.025,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.05,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.1,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.15,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.2,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.25,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.3,0
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.35,4.356770138725565
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.4,11.755656367848019
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.45,19.1940059255136
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.5,26.40135996638334
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.55,33.128624076484456
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.6,40.377048074418134
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.65,47.52046981340425
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.7,55.35677750134296
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.75,63.60525653733629
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.8,72.92062995422222
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.85,84.1276955011815
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.9,98.3703953017765
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.95,117.7178969304875
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.975,134.84207919077016
2025-12-10,hospital admissions,2025-12-21,3,CZ,quantile,0.99,154.65434926809596
2025-12-10,hospital admissions,2025-12-21,3,CZ,median,,26.40135996638334
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.01,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.025,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.05,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.1,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.15,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.2,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.25,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.3,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.35,0
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.4,7.526257560583215
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.45,17.186344926744788
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.5,26.528480211731143
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.55,35.570705278954726
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.6,45.23976850305915
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.65,54.57076500305576
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.7,65.10242590882734
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.75,76.03767653596562
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.8,88.38916120693433
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.85,103.38812732598778
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.9,122.7166501949433
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.95,149.29835456116842
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.975,172.70009451293353
2025-12-10,hospital admissions,2025-12-28,4,CZ,quantile,0.99,199.64353015204694
2025-12-10,hospital admissions,2025-12-28,4,CZ,median,,26.528480211731143
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.01,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.025,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.05,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.1,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.15,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.2,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.25,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.3,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.35,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.4,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.45,0
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.5,0.7533737521959756
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.55,1.50521857622011
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.6,2.227601906986486
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.65,3.073722680839875
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.7,3.9281390578184476
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.75,4.913470330846831
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.8,5.801425675759452
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.85,7.086783569953111
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.9,8.493923019726637
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.95,10.65420863592161
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.975,12.625155471948919
2025-12-10,hospital admissions,2025-12-07,1,EE,quantile,0.99,15.266155427932206
2025-12-10,hospital admissions,2025-12-07,1,EE,median,,0.7533737521959756
2025-12-10,hospital admissions,2025-12-14,2,EE,quantile,0.01,0
2025-12-10,hospital admissions,2025-12-14,2,EE,quantile,0.025,0
2025-12-10,hospital admissions,2025-12-14,2,EE,quantile,0.05,0
2025-12-10,hospital admissions,2025-12-14,2,EE,quantile,0.1,0
