origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.01,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.025,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.05,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.1,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.15,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.2,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.25,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.3,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.35,0
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.4,0.3184121404469433
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.45,2.7309659699871514
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.5,4.854601264327625
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.55,6.928283329472755
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.6,9.20292652920004
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.65,11.574319390273114
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.7,13.935588522886547
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.75,16.38017942911319
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.8,19.18683242374505
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.85,22.457707078920837
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.9,26.91645155937821
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.95,34.26796510536568
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.975,39.88616216207456
2026-03-11,hospital admissions,2026-03-08,1,CZ,quantile,0.99,46.040883014966184
2026-03-11,hospital admissions,2026-03-08,1,CZ,median,,4.854601264327625
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.01,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.025,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.05,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.1,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.15,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.2,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.25,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.3,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.35,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.4,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.45,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.5,0
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.55,2.2333876649835
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.6,7.090658196393646
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.65,11.676040567930611
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.7,16.337150520474225
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.75,21.423229930486574
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.8,26.922449780974866
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.85,33.59196618085649
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.9,42.48626685554864
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.95,57.32417268911993
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.975,68.37062213603826
2026-03-11,hospital admissions,2026-03-15,2,CZ,quantile,0.99,81.964944625642
2026-03-11,hospital admissions,2026-03-15,2,CZ,median,,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.01,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.025,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.05,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.1,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.15,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.2,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.25,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.3,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.35,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.4,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.45,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.5,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.55,0
2026-03-11,hospital admissions,2026-03-22,3,CZ,quantile,0.6,6.28740351607776
