origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.010,55.1272301262065
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.010,46.742735612279
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.010,39.59222817953144
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.010,32.46733795721051
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.010,27.20574848732013
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.010,22.38444698817961
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.025,56.83515175370433
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.025,48.780996156463104
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.025,41.59381771231336
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.025,34.856055046446684
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.025,28.64782158930154
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.025,22.908065999083085
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.050,58.03882043615449
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.050,50.25859391319266
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.050,43.666377558241535
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.050,36.378016885301825
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.050,30.289351090986745
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.050,23.98057849234569
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.100,60.642984176749756
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.100,53.23041494631408
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.100,46.44886870523914
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.100,39.520550368726255
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.100,32.136712823269356
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.100,25.266720306321183
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.150,63.09461746921962
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.150,55.63292181905791
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.150,48.42037507389406
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.150,41.27577977261141
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.150,34.47769891001018
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.150,28.550325251531984
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.200,64.69344128883843
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.200,57.50386878835436
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.200,49.65403899934942
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.200,42.404592397695936
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.200,35.804415457043795
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.200,30.285942683501965
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.250,66.01872879914507
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.250,58.66802703792928
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.250,50.80099540494017
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.250,43.34015045923713
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.250,37.42883816175163
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.250,32.4820955705197
2024-12-25,ILI incidence,2024-12-08,-1,CZ,quantile,0.300,66.90136463034766
2024-12-25,ILI incidence,2024-12-15,0,CZ,quantile,0.300,59.62571316138242
2024-12-25,ILI incidence,2024-12-22,1,CZ,quantile,0.300,52.06236953638228
2024-12-25,ILI incidence,2024-12-29,2,CZ,quantile,0.300,45.23928708999883
2024-12-25,ILI incidence,2025-01-05,3,CZ,quantile,0.300,39.414397948541286
2024-12-25,ILI incidence,2025-01-12,4,CZ,quantile,0.300,35.10616397114604
