target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CZ,2026-02-25,2026-02-22,0.01,1,quantile,0
hospital admissions,CZ,2026-02-25,2026-02-22,0.025,1,quantile,0
hospital admissions,CZ,2026-02-25,2026-02-22,0.05,1,quantile,0.58712043159475
hospital admissions,CZ,2026-02-25,2026-02-22,0.1,1,quantile,1.81508847450763
hospital admissions,CZ,2026-02-25,2026-02-22,0.15,1,quantile,3.11632501623561
hospital admissions,CZ,2026-02-25,2026-02-22,0.2,1,quantile,4.49730996243744
hospital admissions,CZ,2026-02-25,2026-02-22,0.25,1,quantile,6.1849280848615
hospital admissions,CZ,2026-02-25,2026-02-22,0.3,1,quantile,7.68094085638837
hospital admissions,CZ,2026-02-25,2026-02-22,0.35,1,quantile,10.1860734104162
hospital admissions,CZ,2026-02-25,2026-02-22,0.4,1,quantile,12.4620453842401
hospital admissions,CZ,2026-02-25,2026-02-22,0.45,1,quantile,14.699455390388
hospital admissions,CZ,2026-02-25,2026-02-22,0.5,1,quantile,16.9973040241587
hospital admissions,CZ,2026-02-25,2026-02-22,0.55,1,quantile,19.7296048426103
hospital admissions,CZ,2026-02-25,2026-02-22,0.6,1,quantile,22.5496039739252
hospital admissions,CZ,2026-02-25,2026-02-22,0.65,1,quantile,25.4030227909413
hospital admissions,CZ,2026-02-25,2026-02-22,0.7,1,quantile,28.8972755914179
hospital admissions,CZ,2026-02-25,2026-02-22,0.75,1,quantile,31.9313744556954
hospital admissions,CZ,2026-02-25,2026-02-22,0.8,1,quantile,35.929611744767
hospital admissions,CZ,2026-02-25,2026-02-22,0.85,1,quantile,41.2603499301721
hospital admissions,CZ,2026-02-25,2026-02-22,0.9,1,quantile,48.7523348172686
hospital admissions,CZ,2026-02-25,2026-02-22,0.95,1,quantile,60.4555035934394
hospital admissions,CZ,2026-02-25,2026-02-22,0.975,1,quantile,69.8485784167538
hospital admissions,CZ,2026-02-25,2026-02-22,0.99,1,quantile,80.3663346152257
hospital admissions,CZ,2026-02-25,2026-03-01,0.01,2,quantile,0
hospital admissions,CZ,2026-02-25,2026-03-01,0.025,2,quantile,0.110112702254172
hospital admissions,CZ,2026-02-25,2026-03-01,0.05,2,quantile,1.55451100734164
hospital admissions,CZ,2026-02-25,2026-03-01,0.1,2,quantile,3.38456405995906
hospital admissions,CZ,2026-02-25,2026-03-01,0.15,2,quantile,5.13595297589641
hospital admissions,CZ,2026-02-25,2026-03-01,0.2,2,quantile,6.9262567686596
hospital admissions,CZ,2026-02-25,2026-03-01,0.25,2,quantile,8.68396464336369
hospital admissions,CZ,2026-02-25,2026-03-01,0.3,2,quantile,10.5191003610858
hospital admissions,CZ,2026-02-25,2026-03-01,0.35,2,quantile,11.8920020903048
hospital admissions,CZ,2026-02-25,2026-03-01,0.4,2,quantile,14.0408786765256
hospital admissions,CZ,2026-02-25,2026-03-01,0.45,2,quantile,16.5251310299254
hospital admissions,CZ,2026-02-25,2026-03-01,0.5,2,quantile,18.6857461417656
hospital admissions,CZ,2026-02-25,2026-03-01,0.55,2,quantile,21.888002556952
hospital admissions,CZ,2026-02-25,2026-03-01,0.6,2,quantile,24.9056448521749
hospital admissions,CZ,2026-02-25,2026-03-01,0.65,2,quantile,28.1105525605987
hospital admissions,CZ,2026-02-25,2026-03-01,0.7,2,quantile,33.0080441009085
hospital admissions,CZ,2026-02-25,2026-03-01,0.75,2,quantile,36.7511981386938
hospital admissions,CZ,2026-02-25,2026-03-01,0.8,2,quantile,42.2103689412868
hospital admissions,CZ,2026-02-25,2026-03-01,0.85,2,quantile,49.1803834457623
hospital admissions,CZ,2026-02-25,2026-03-01,0.9,2,quantile,59.1552729277695
hospital admissions,CZ,2026-02-25,2026-03-01,0.95,2,quantile,73.5652174162394
hospital admissions,CZ,2026-02-25,2026-03-01,0.975,2,quantile,89.9445698198111
hospital admissions,CZ,2026-02-25,2026-03-01,0.99,2,quantile,112.876400274847
hospital admissions,CZ,2026-02-25,2026-03-08,0.01,3,quantile,0
hospital admissions,CZ,2026-02-25,2026-03-08,0.025,3,quantile,0
hospital admissions,CZ,2026-02-25,2026-03-08,0.05,3,quantile,1.68370872011951
hospital admissions,CZ,2026-02-25,2026-03-08,0.1,3,quantile,4.23097276760097
hospital admissions,CZ,2026-02-25,2026-03-08,0.15,3,quantile,6.10421668012388
hospital admissions,CZ,2026-02-25,2026-03-08,0.2,3,quantile,7.82582194616672
hospital admissions,CZ,2026-02-25,2026-03-08,0.25,3,quantile,9.2294892706182
hospital admissions,CZ,2026-02-25,2026-03-08,0.3,3,quantile,11.0623090182898
hospital admissions,CZ,2026-02-25,2026-03-08,0.35,3,quantile,12.9586190223918
hospital admissions,CZ,2026-02-25,2026-03-08,0.4,3,quantile,15.590021659198
hospital admissions,CZ,2026-02-25,2026-03-08,0.45,3,quantile,18.0359547052223
hospital admissions,CZ,2026-02-25,2026-03-08,0.5,3,quantile,20.7241854546689
hospital admissions,CZ,2026-02-25,2026-03-08,0.55,3,quantile,23.6550414378464
hospital admissions,CZ,2026-02-25,2026-03-08,0.6,3,quantile,26.9352709256165
hospital admissions,CZ,2026-02-25,2026-03-08,0.65,3,quantile,30.6732408833219
hospital admissions,CZ,2026-02-25,2026-03-08,0.7,3,quantile,35.5399663599406
hospital admissions,CZ,2026-02-25,2026-03-08,0.75,3,quantile,40.5494409214246
hospital admissions,CZ,2026-02-25,2026-03-08,0.8,3,quantile,48.8836747446963
hospital admissions,CZ,2026-02-25,2026-03-08,0.85,3,quantile,56.9086493438554
hospital admissions,CZ,2026-02-25,2026-03-08,0.9,3,quantile,70.6997932924283
hospital admissions,CZ,2026-02-25,2026-03-08,0.95,3,quantile,91.6865952086432
hospital admissions,CZ,2026-02-25,2026-03-08,0.975,3,quantile,116.528604107297
hospital admissions,CZ,2026-02-25,2026-03-08,0.99,3,quantile,160.353481305061
hospital admissions,CZ,2026-02-25,2026-03-15,0.01,4,quantile,0
hospital admissions,CZ,2026-02-25,2026-03-15,0.025,4,quantile,0
hospital admissions,CZ,2026-02-25,2026-03-15,0.05,4,quantile,1.3644994973248
hospital admissions,CZ,2026-02-25,2026-03-15,0.1,4,quantile,4.52769215107757
hospital admissions,CZ,2026-02-25,2026-03-15,0.15,4,quantile,6.69249652253018
hospital admissions,CZ,2026-02-25,2026-03-15,0.2,4,quantile,8.85742537109248
hospital admissions,CZ,2026-02-25,2026-03-15,0.25,4,quantile,10.9851587298668
hospital admissions,CZ,2026-02-25,2026-03-15,0.3,4,quantile,13.338596002166
hospital admissions,CZ,2026-02-25,2026-03-15,0.35,4,quantile,15.4574158804649
hospital admissions,CZ,2026-02-25,2026-03-15,0.4,4,quantile,17.923590692814
hospital admissions,CZ,2026-02-25,2026-03-15,0.45,4,quantile,20.4513767262811
hospital admissions,CZ,2026-02-25,2026-03-15,0.5,4,quantile,23.1313531260534
hospital admissions,CZ,2026-02-25,2026-03-15,0.55,4,quantile,26.1664263163965
hospital admissions,CZ,2026-02-25,2026-03-15,0.6,4,quantile,30.6289420952732
hospital admissions,CZ,2026-02-25,2026-03-15,0.65,4,quantile,35.9039824994227
hospital admissions,CZ,2026-02-25,2026-03-15,0.7,4,quantile,40.5473893521409
hospital admissions,CZ,2026-02-25,2026-03-15,0.75,4,quantile,46.160938374965
hospital admissions,CZ,2026-02-25,2026-03-15,0.8,4,quantile,54.6270239815403
hospital admissions,CZ,2026-02-25,2026-03-15,0.85,4,quantile,67.6517868437794
hospital admissions,CZ,2026-02-25,2026-03-15,0.9,4,quantile,85.8832474687853
hospital admissions,CZ,2026-02-25,2026-03-15,0.95,4,quantile,113.318066393443
hospital admissions,CZ,2026-02-25,2026-03-15,0.975,4,quantile,151.142475407479
hospital admissions,CZ,2026-02-25,2026-03-15,0.99,4,quantile,202.573845924558
hospital admissions,CZ,2026-02-25,2026-02-22,,1,median,16.9973040241587
hospital admissions,CZ,2026-02-25,2026-03-01,,2,median,18.6857461417656
hospital admissions,CZ,2026-02-25,2026-03-08,,3,median,20.7241854546689
hospital admissions,CZ,2026-02-25,2026-03-15,,4,median,23.1313531260534
hospital admissions,EE,2026-02-25,2026-02-22,0.01,1,quantile,0.333020022449038
hospital admissions,EE,2026-02-25,2026-02-22,0.025,1,quantile,0.495195811652556
hospital admissions,EE,2026-02-25,2026-02-22,0.05,1,quantile,0.82178258823396
hospital admissions,EE,2026-02-25,2026-02-22,0.1,1,quantile,1.60294300963204
hospital admissions,EE,2026-02-25,2026-02-22,0.15,1,quantile,2.40860755888519
hospital admissions,EE,2026-02-25,2026-02-22,0.2,1,quantile,3.29850196846488
hospital admissions,EE,2026-02-25,2026-02-22,0.25,1,quantile,4.25459691911212
hospital admissions,EE,2026-02-25,2026-02-22,0.3,1,quantile,5.18224990000679
hospital admissions,EE,2026-02-25,2026-02-22,0.35,1,quantile,5.84899982991966
hospital admissions,EE,2026-02-25,2026-02-22,0.4,1,quantile,6.64412043390749
hospital admissions,EE,2026-02-25,2026-02-22,0.45,1,quantile,7.45156036326787
hospital admissions,EE,2026-02-25,2026-02-22,0.5,1,quantile,8.25306599317248
hospital admissions,EE,2026-02-25,2026-02-22,0.55,1,quantile,9.31306544835809
hospital admissions,EE,2026-02-25,2026-02-22,0.6,1,quantile,10.2891039532126
hospital admissions,EE,2026-02-25,2026-02-22,0.65,1,quantile,11.2444117709994
hospital admissions,EE,2026-02-25,2026-02-22,0.7,1,quantile,12.2540003543903
hospital admissions,EE,2026-02-25,2026-02-22,0.75,1,quantile,13.416312883068
hospital admissions,EE,2026-02-25,2026-02-22,0.8,1,quantile,14.9224474625121
hospital admissions,EE,2026-02-25,2026-02-22,0.85,1,quantile,16.9113763923812
