target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CZ,2026-04-15,2026-04-12,0.01,1,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-12,0.025,1,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-12,0.05,1,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-12,0.1,1,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-12,0.15,1,quantile,0.427747032293445
hospital admissions,CZ,2026-04-15,2026-04-12,0.2,1,quantile,1.41775361593745
hospital admissions,CZ,2026-04-15,2026-04-12,0.25,1,quantile,2.44787474790117
hospital admissions,CZ,2026-04-15,2026-04-12,0.3,1,quantile,3.54131437968584
hospital admissions,CZ,2026-04-15,2026-04-12,0.35,1,quantile,4.89537370996833
hospital admissions,CZ,2026-04-15,2026-04-12,0.4,1,quantile,6.54317575746515
hospital admissions,CZ,2026-04-15,2026-04-12,0.45,1,quantile,8.78326151741864
hospital admissions,CZ,2026-04-15,2026-04-12,0.5,1,quantile,11.6772140005738
hospital admissions,CZ,2026-04-15,2026-04-12,0.55,1,quantile,14.6312709781264
hospital admissions,CZ,2026-04-15,2026-04-12,0.6,1,quantile,17.2850338728512
hospital admissions,CZ,2026-04-15,2026-04-12,0.65,1,quantile,20.6438468647449
hospital admissions,CZ,2026-04-15,2026-04-12,0.7,1,quantile,23.9353104185152
hospital admissions,CZ,2026-04-15,2026-04-12,0.75,1,quantile,28.0135112748018
hospital admissions,CZ,2026-04-15,2026-04-12,0.8,1,quantile,32.42635065383
hospital admissions,CZ,2026-04-15,2026-04-12,0.85,1,quantile,37.1513744917992
hospital admissions,CZ,2026-04-15,2026-04-12,0.9,1,quantile,44.7962406113022
hospital admissions,CZ,2026-04-15,2026-04-12,0.95,1,quantile,59.2277573837736
hospital admissions,CZ,2026-04-15,2026-04-12,0.975,1,quantile,71.6935248379933
hospital admissions,CZ,2026-04-15,2026-04-12,0.99,1,quantile,84.3396198281619
hospital admissions,CZ,2026-04-15,2026-04-19,0.01,2,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-19,0.025,2,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-19,0.05,2,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-19,0.1,2,quantile,0.118313089763538
hospital admissions,CZ,2026-04-15,2026-04-19,0.15,2,quantile,1.57947393329368
hospital admissions,CZ,2026-04-15,2026-04-19,0.2,2,quantile,2.87163027379984
hospital admissions,CZ,2026-04-15,2026-04-19,0.25,2,quantile,4.37461693694574
hospital admissions,CZ,2026-04-15,2026-04-19,0.3,2,quantile,5.94181705679091
hospital admissions,CZ,2026-04-15,2026-04-19,0.35,2,quantile,7.46192838628042
hospital admissions,CZ,2026-04-15,2026-04-19,0.4,2,quantile,8.83154385159734
hospital admissions,CZ,2026-04-15,2026-04-19,0.45,2,quantile,10.6284267604756
hospital admissions,CZ,2026-04-15,2026-04-19,0.5,2,quantile,13.2552024513723
hospital admissions,CZ,2026-04-15,2026-04-19,0.55,2,quantile,15.9416368335766
hospital admissions,CZ,2026-04-15,2026-04-19,0.6,2,quantile,19.5750024109213
hospital admissions,CZ,2026-04-15,2026-04-19,0.65,2,quantile,22.9618849600368
hospital admissions,CZ,2026-04-15,2026-04-19,0.7,2,quantile,27.8241167944926
hospital admissions,CZ,2026-04-15,2026-04-19,0.75,2,quantile,32.6150891325923
hospital admissions,CZ,2026-04-15,2026-04-19,0.8,2,quantile,37.1383088364175
hospital admissions,CZ,2026-04-15,2026-04-19,0.85,2,quantile,45.7308463091145
hospital admissions,CZ,2026-04-15,2026-04-19,0.9,2,quantile,56.7433601094117
hospital admissions,CZ,2026-04-15,2026-04-19,0.95,2,quantile,72.0749717795272
hospital admissions,CZ,2026-04-15,2026-04-19,0.975,2,quantile,91.7779333984736
hospital admissions,CZ,2026-04-15,2026-04-19,0.99,2,quantile,116.04289033213
hospital admissions,CZ,2026-04-15,2026-04-26,0.01,3,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-26,0.025,3,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-26,0.05,3,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-26,0.1,3,quantile,0
hospital admissions,CZ,2026-04-15,2026-04-26,0.15,3,quantile,1.10691869312388
hospital admissions,CZ,2026-04-15,2026-04-26,0.2,3,quantile,2.89822693738845
hospital admissions,CZ,2026-04-15,2026-04-26,0.25,3,quantile,4.32135008722376
hospital admissions,CZ,2026-04-15,2026-04-26,0.3,3,quantile,5.72875605898184
hospital admissions,CZ,2026-04-15,2026-04-26,0.35,3,quantile,7.78290846205606
hospital admissions,CZ,2026-04-15,2026-04-26,0.4,3,quantile,9.55090857178233
hospital admissions,CZ,2026-04-15,2026-04-26,0.45,3,quantile,11.9880099145991
hospital admissions,CZ,2026-04-15,2026-04-26,0.5,3,quantile,15.0976520452918
hospital admissions,CZ,2026-04-15,2026-04-26,0.55,3,quantile,17.9377651323395
hospital admissions,CZ,2026-04-15,2026-04-26,0.6,3,quantile,20.9697131481053
hospital admissions,CZ,2026-04-15,2026-04-26,0.65,3,quantile,24.5083519300045
hospital admissions,CZ,2026-04-15,2026-04-26,0.7,3,quantile,29.0206042502054
hospital admissions,CZ,2026-04-15,2026-04-26,0.75,3,quantile,34.7907066855509
hospital admissions,CZ,2026-04-15,2026-04-26,0.8,3,quantile,42.3214271323345
hospital admissions,CZ,2026-04-15,2026-04-26,0.85,3,quantile,53.5701107897336
hospital admissions,CZ,2026-04-15,2026-04-26,0.9,3,quantile,67.6355569512911
hospital admissions,CZ,2026-04-15,2026-04-26,0.95,3,quantile,94.8043917675208
hospital admissions,CZ,2026-04-15,2026-04-26,0.975,3,quantile,120.335358210275
hospital admissions,CZ,2026-04-15,2026-04-26,0.99,3,quantile,162.232197586663
hospital admissions,CZ,2026-04-15,2026-05-03,0.01,4,quantile,0
hospital admissions,CZ,2026-04-15,2026-05-03,0.025,4,quantile,0
hospital admissions,CZ,2026-04-15,2026-05-03,0.05,4,quantile,0
hospital admissions,CZ,2026-04-15,2026-05-03,0.1,4,quantile,0.517098541318852
hospital admissions,CZ,2026-04-15,2026-05-03,0.15,4,quantile,2.37701347291803
hospital admissions,CZ,2026-04-15,2026-05-03,0.2,4,quantile,4.43165945325518
hospital admissions,CZ,2026-04-15,2026-05-03,0.25,4,quantile,6.57173178209603
hospital admissions,CZ,2026-04-15,2026-05-03,0.3,4,quantile,8.3390190453625
hospital admissions,CZ,2026-04-15,2026-05-03,0.35,4,quantile,10.6973183813524
hospital admissions,CZ,2026-04-15,2026-05-03,0.4,4,quantile,12.2947877194491
hospital admissions,CZ,2026-04-15,2026-05-03,0.45,4,quantile,14.5661907031486
hospital admissions,CZ,2026-04-15,2026-05-03,0.5,4,quantile,17.2357542580229
hospital admissions,CZ,2026-04-15,2026-05-03,0.55,4,quantile,20.2145142671639
hospital admissions,CZ,2026-04-15,2026-05-03,0.6,4,quantile,24.8343819778896
hospital admissions,CZ,2026-04-15,2026-05-03,0.65,4,quantile,30.4717623667079
hospital admissions,CZ,2026-04-15,2026-05-03,0.7,4,quantile,35.6436296039658
hospital admissions,CZ,2026-04-15,2026-05-03,0.75,4,quantile,42.265193085977
hospital admissions,CZ,2026-04-15,2026-05-03,0.8,4,quantile,51.3146342266726
hospital admissions,CZ,2026-04-15,2026-05-03,0.85,4,quantile,62.39629671849
hospital admissions,CZ,2026-04-15,2026-05-03,0.9,4,quantile,84.4868348583751
hospital admissions,CZ,2026-04-15,2026-05-03,0.95,4,quantile,115.889886109779
hospital admissions,CZ,2026-04-15,2026-05-03,0.975,4,quantile,157.872119528423
hospital admissions,CZ,2026-04-15,2026-05-03,0.99,4,quantile,210.591091456222
hospital admissions,CZ,2026-04-15,2026-04-12,,1,median,11.6772140005738
hospital admissions,CZ,2026-04-15,2026-04-19,,2,median,13.2552024513723
hospital admissions,CZ,2026-04-15,2026-04-26,,3,median,15.0976520452918
hospital admissions,CZ,2026-04-15,2026-05-03,,4,median,17.2357542580229
hospital admissions,EE,2026-04-15,2026-04-12,0.01,1,quantile,0.51806908738393
hospital admissions,EE,2026-04-15,2026-04-12,0.025,1,quantile,0.518446447509412
hospital admissions,EE,2026-04-15,2026-04-12,0.05,1,quantile,0.73160427272587
hospital admissions,EE,2026-04-15,2026-04-12,0.1,1,quantile,1.35662513877161
hospital admissions,EE,2026-04-15,2026-04-12,0.15,1,quantile,1.91915285365343
hospital admissions,EE,2026-04-15,2026-04-12,0.2,1,quantile,2.66901476120351
