Unnamed: 0,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
0,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.01,0.0
1,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.01,0.0
2,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.01,0.0
3,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.01,0.0
8,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.025,0.0
9,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.025,0.0
10,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.025,0.0
11,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.025,0.0
16,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.05,0.0
17,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.05,0.0
18,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.05,0.0
19,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.05,0.0
24,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.1,0.0
25,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.1,0.0
26,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.1,0.0
27,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.1,0.0
32,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.15,0.0
33,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.15,0.0
34,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.15,0.0
35,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.15,0.0
40,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.2,0.0
41,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.2,0.0
42,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.2,0.0
43,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.2,0.0
48,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.25,0.0
49,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.25,0.0
50,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.25,0.0
51,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.25,0.0
56,2025-07-23,hospital admissions,2025-07-20,1,CZ,quantile,0.3,0.0
57,2025-07-23,hospital admissions,2025-07-27,2,CZ,quantile,0.3,0.0
58,2025-07-23,hospital admissions,2025-08-03,3,CZ,quantile,0.3,0.0
59,2025-07-23,hospital admissions,2025-08-10,4,CZ,quantile,0.3,0.0
