origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.01,0.0
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.01,0.0
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.01,0.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.01,0.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.025,0.0
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.025,0.0
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.025,0.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.025,0.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.05,0.0
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.05,0.0
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.05,0.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.05,0.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.1,0.0
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.1,0.0
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.1,0.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.1,0.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.15,0.0
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.15,0.0
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.15,0.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.15,0.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.2,1.6474573947272455
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.2,0.0
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.2,0.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.2,0.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.25,3.439002392182772
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.25,1.514962085830426
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.25,0.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.25,0.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.3,5.193232885891977
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.3,3.663446886239461
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.3,2.3737776313135885
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.3,1.2375562085441434
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.35,6.9188876892920605
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.35,5.776933756495926
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.35,4.81422205825618
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.35,3.966056025521203
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.4,8.6238117085193
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.4,7.865030705156775
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.4,7.225348729062907
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.4,6.661777594664484
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.45,10.315234598491733
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.45,9.936592215004804
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.45,9.617381919770136
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.45,9.336152004093003
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.5,12.0
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.5,12.0
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.5,12.0
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.5,12.0
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.55,13.684765401508267
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.55,14.063407784995196
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.55,14.382618080229864
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.55,14.663847995906997
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.6,15.3761882914807
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.6,16.134969294843224
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.6,16.774651270937092
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.6,17.338222405335515
2026-04-15,hospital admissions,2026-04-12,1,IE,quantile,0.65,17.08111231070794
2026-04-15,hospital admissions,2026-04-19,2,IE,quantile,0.65,18.223066243504075
2026-04-15,hospital admissions,2026-04-26,3,IE,quantile,0.65,19.18577794174382
2026-04-15,hospital admissions,2026-05-03,4,IE,quantile,0.65,20.033943974478795
