"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","median","",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.01",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.025",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.05",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.1",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.15",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.2",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.25",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.3",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.35",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.4",0
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.45",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.5",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.55",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.6",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.65",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.7",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.75",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.8",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.85",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.9",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.95",1
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.975",2
2026-08-19,"hospital admissions",2026-08-02,-1,"EE","quantile","0.99",2
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","median","",2
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.01",0
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.025",0
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.05",0
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.1",1
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.15",1
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.2",1
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.25",1
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.3",1
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.35",2
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.4",2
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.45",2
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.5",2
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.55",3
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.6",3
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.65",3
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.7",4
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.75",4
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.8",5
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.85",6
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.9",7
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.95",10
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.975",13
2026-08-19,"hospital admissions",2026-08-02,-1,"PL","quantile","0.99",17
2026-08-19,"hospital admissions",2026-08-09,0,"EE","median","",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.01",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.025",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.05",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.1",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.15",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.2",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.25",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.3",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.35",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.4",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.45",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.5",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.55",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.6",0
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.65",1
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.7",1
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.75",1
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.8",1
2026-08-19,"hospital admissions",2026-08-09,0,"EE","quantile","0.85",1
