origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.010,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.025,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.050,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.100,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.150,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.200,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.250,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.300,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.350,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.400,0.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.450,8.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.500,19.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.550,29.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.600,40.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.650,50.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.700,62.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.750,75.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.800,88.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.850,105.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.900,124.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.950,156.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.975,185.0
2025-10-15,hospital admissions,1,2025-10-12,CY,quantile,0.990,214.0
2025-10-15,hospital admissions,1,2025-10-12,CY,median,,19.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.010,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.025,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.050,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.100,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.150,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.200,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.250,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.300,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.350,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.400,0.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.450,8.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.500,18.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.550,30.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.600,41.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.650,51.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.700,63.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.750,76.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.800,90.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.850,106.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.900,127.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.950,156.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.975,186.0
2025-10-15,hospital admissions,2,2025-10-19,CY,quantile,0.990,216.01000000000022
2025-10-15,hospital admissions,2,2025-10-19,CY,median,,18.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.010,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.025,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.050,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.100,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.150,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.200,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.250,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.300,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.350,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.400,0.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.450,8.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.500,18.0
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.550,29.450000000000728
2025-10-15,hospital admissions,3,2025-10-26,CY,quantile,0.600,40.0
