origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.010,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.025,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.050,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.100,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.150,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.200,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.250,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.300,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.350,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.400,0.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.450,1.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.500,2.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.550,4.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.600,5.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.650,7.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.700,10.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.750,14.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.800,20.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.850,27.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.900,47.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.950,95.04999999999927
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.975,146.0
2026-09-02,hospital admissions,1,2026-08-30,CZ,quantile,0.990,205.01000000000022
2026-09-02,hospital admissions,1,2026-08-30,CZ,median,,2.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.010,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.025,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.050,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.100,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.150,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.200,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.250,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.300,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.350,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.400,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.450,0.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.500,2.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.550,5.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.600,7.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.650,11.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.700,15.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.750,22.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.800,29.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.850,44.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.900,70.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.950,123.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.975,179.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,quantile,0.990,235.0
2026-09-02,hospital admissions,2,2026-09-06,CZ,median,,2.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.010,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.025,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.050,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.100,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.150,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.200,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.250,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.300,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.350,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.400,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.450,0.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.500,2.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.550,6.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.600,10.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.650,15.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.700,21.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.750,28.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.800,40.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.850,58.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.900,91.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.950,144.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.975,201.0
2026-09-02,hospital admissions,3,2026-09-13,CZ,quantile,0.990,244.01000000000022
2026-09-02,hospital admissions,3,2026-09-13,CZ,median,,2.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.010,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.025,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.050,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.100,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.150,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.200,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.250,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.300,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.350,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.400,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.450,0.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.500,2.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.550,7.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.600,12.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.650,18.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.700,26.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.750,36.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.800,50.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.850,71.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.900,105.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.950,159.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.975,222.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,quantile,0.990,256.0
2026-09-02,hospital admissions,4,2026-09-20,CZ,median,,2.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.010,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.025,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.050,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.100,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.150,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.200,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.250,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.300,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.350,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.400,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.450,0.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.500,1.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.550,4.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.600,7.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.650,10.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.700,14.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.750,18.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.800,23.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.850,29.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.900,37.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.950,52.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.975,70.0
2026-09-02,hospital admissions,1,2026-08-30,EE,quantile,0.990,92.0
2026-09-02,hospital admissions,1,2026-08-30,EE,median,,1.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.010,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.025,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.050,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.100,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.150,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.200,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.250,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.300,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.350,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.400,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.450,0.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.500,1.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.550,4.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.600,8.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.650,12.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.700,16.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.750,20.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.800,26.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.850,32.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.900,41.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.950,58.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.975,76.0
2026-09-02,hospital admissions,2,2026-09-06,EE,quantile,0.990,98.01000000000022
2026-09-02,hospital admissions,2,2026-09-06,EE,median,,1.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.010,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.025,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.050,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.100,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.150,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.200,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.250,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.300,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.350,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.400,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.450,0.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.500,1.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.550,5.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.600,9.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.650,13.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.700,17.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.750,22.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.800,28.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.850,35.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.900,45.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.950,64.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.975,82.0
2026-09-02,hospital admissions,3,2026-09-13,EE,quantile,0.990,103.0
2026-09-02,hospital admissions,3,2026-09-13,EE,median,,1.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.010,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.025,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.050,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.100,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.150,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.200,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.250,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.300,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.350,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.400,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.450,0.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.500,1.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.550,5.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.600,10.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.650,14.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.700,19.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.750,24.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.800,31.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.850,39.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.900,49.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.950,68.04999999999927
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.975,88.0
2026-09-02,hospital admissions,4,2026-09-20,EE,quantile,0.990,109.0
2026-09-02,hospital admissions,4,2026-09-20,EE,median,,1.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.010,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.025,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.050,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.100,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.150,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.200,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.250,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.300,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.350,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.400,0.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.450,10.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.500,17.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.550,25.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.600,34.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.650,46.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.700,60.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.750,80.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.800,107.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.850,138.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.900,172.0
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.950,244.04999999999927
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.975,331.02499999999964
2026-09-02,hospital admissions,1,2026-08-30,GR,quantile,0.990,435.02000000000044
2026-09-02,hospital admissions,1,2026-08-30,GR,median,,17.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.010,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.025,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.050,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.100,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.150,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.200,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.250,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.300,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.350,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.400,0.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.450,4.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.500,16.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.550,30.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.600,45.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.650,62.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.700,85.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.750,109.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.800,137.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.850,168.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.900,214.10000000000036
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.950,313.0
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.975,392.0499999999993
2026-09-02,hospital admissions,2,2026-09-06,GR,quantile,0.990,534.0
2026-09-02,hospital admissions,2,2026-09-06,GR,median,,16.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.010,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.025,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.050,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.100,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.150,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.200,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.250,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.300,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.350,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.400,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.450,0.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.500,17.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.550,34.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.600,54.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.650,76.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.700,101.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.750,128.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.800,160.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.850,199.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.900,256.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.950,350.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.975,447.0
2026-09-02,hospital admissions,3,2026-09-13,GR,quantile,0.990,560.0100000000002
2026-09-02,hospital admissions,3,2026-09-13,GR,median,,17.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.010,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.025,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.050,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.100,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.150,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.200,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.250,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.300,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.350,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.400,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.450,0.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.500,17.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.550,39.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.600,63.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.650,88.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.700,116.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.750,146.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.800,184.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.850,228.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.900,295.10000000000036
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.950,388.09999999999854
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.975,480.0
2026-09-02,hospital admissions,4,2026-09-20,GR,quantile,0.990,608.0
2026-09-02,hospital admissions,4,2026-09-20,GR,median,,17.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.010,0.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.025,0.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.050,0.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.100,0.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.150,0.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.200,3.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.250,18.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.300,26.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.350,35.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.400,40.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.450,44.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.500,48.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.550,51.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.600,55.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.650,60.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.700,68.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.750,77.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.800,91.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.850,108.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.900,130.10000000000036
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.950,169.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.975,212.0
2026-09-02,hospital admissions,1,2026-08-30,IE,quantile,0.990,247.0
2026-09-02,hospital admissions,1,2026-08-30,IE,median,,48.0
2026-09-02,hospital admissions,2,2026-09-06,IE,quantile,0.010,0.0
2026-09-02,hospital admissions,2,2026-09-06,IE,quantile,0.025,0.0
2026-09-02,hospital admissions,2,2026-09-06,IE,quantile,0.050,0.0
