origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-13,Hospital admissions,2024-10-27,-1,CY,median,,16.5
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.01,16.36041913
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.025,16.38240216
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.05,16.40130878
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.1,16.42310691
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.15,16.437814
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.2,16.44950273
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.25,16.45953061
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.3,16.46853597
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.35,16.47688077
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.4,16.48479917
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.45,16.49246032
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.5,16.5
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.55,16.50753968
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.6,16.51520083
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.65,16.52311923
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.7,16.53146403
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.75,16.54046939
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.8,16.55049727
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.85,16.562186
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.9,16.57689309
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.95,16.59869122
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.975,16.61759784
2024-11-13,Hospital admissions,2024-10-27,-1,CY,quantile,0.99,16.63958087
2024-11-13,Hospital admissions,2024-11-03,0,CY,median,,16.15
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.01,15.96854487
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.025,15.99712281
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.05,16.02170142
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.1,16.05003898
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.15,16.0691582
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.2,16.08435354
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.25,16.0973898
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.3,16.10909676
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.35,16.119945
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.4,16.13023893
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.45,16.14019841
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.5,16.15
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.55,16.15980159
2024-11-13,Hospital admissions,2024-11-03,0,CY,quantile,0.6,16.16976107
