target,location,truth_date,year_week,value
hospital admissions,AT,2023-06-18,2023-W24,1
hospital admissions,AT,2023-06-11,2023-W23,2
hospital admissions,AT,2023-06-04,2023-W22,4
hospital admissions,AT,2023-05-28,2023-W21,3
hospital admissions,AT,2023-05-21,2023-W20,2
hospital admissions,AT,2023-05-14,2023-W19,4
hospital admissions,AT,2023-05-07,2023-W18,1
hospital admissions,AT,2023-04-30,2023-W17,4
hospital admissions,AT,2023-04-23,2023-W16,4
hospital admissions,AT,2023-04-16,2023-W15,14
hospital admissions,AT,2023-04-09,2023-W14,15
hospital admissions,AT,2023-04-02,2023-W13,30
hospital admissions,AT,2023-03-26,2023-W12,67
hospital admissions,AT,2023-03-19,2023-W11,73
hospital admissions,AT,2023-03-12,2023-W10,102
hospital admissions,AT,2023-03-05,2023-W09,72
hospital admissions,AT,2023-02-26,2023-W08,113
hospital admissions,AT,2023-02-19,2023-W07,122
hospital admissions,AT,2023-02-12,2023-W06,91
hospital admissions,AT,2023-02-05,2023-W05,76
hospital admissions,AT,2023-01-29,2023-W04,85
hospital admissions,AT,2023-01-22,2023-W03,68
hospital admissions,AT,2023-01-15,2023-W02,68
hospital admissions,AT,2023-01-08,2023-W01,126
hospital admissions,AT,2023-01-01,2022-W52,111
hospital admissions,AT,2022-12-25,2022-W51,167
hospital admissions,AT,2022-12-18,2022-W50,160
hospital admissions,AT,2022-12-11,2022-W49,158
hospital admissions,AT,2022-12-04,2022-W48,128
hospital admissions,AT,2022-11-27,2022-W47,148
hospital admissions,AT,2022-11-20,2022-W46,141
hospital admissions,AT,2022-11-13,2022-W45,149
hospital admissions,AT,2022-11-06,2022-W44,140
hospital admissions,AT,2022-10-30,2022-W43,166
hospital admissions,AT,2022-10-23,2022-W42,184
hospital admissions,AT,2022-10-16,2022-W41,238
hospital admissions,AT,2022-10-09,2022-W40,25
hospital admissions,AT,2022-10-02,2022-W39,423
hospital admissions,AT,2022-09-25,2022-W38,385
hospital admissions,AT,2022-09-18,2022-W37,296
hospital admissions,AT,2022-09-11,2022-W36,222
hospital admissions,AT,2022-09-04,2022-W35,242
hospital admissions,AT,2022-08-28,2022-W34,261
hospital admissions,AT,2022-08-21,2022-W33,310
hospital admissions,AT,2022-08-14,2022-W32,249
hospital admissions,AT,2022-08-07,2022-W31,298
hospital admissions,AT,2022-07-31,2022-W30,469
hospital admissions,AT,2022-07-24,2022-W29,559
hospital admissions,AT,2022-07-17,2022-W28,609
hospital admissions,AT,2022-07-10,2022-W27,449
hospital admissions,AT,2022-07-03,2022-W26,409
hospital admissions,AT,2022-06-26,2022-W25,377
hospital admissions,BE,2023-07-02,2023-W26,116
hospital admissions,BE,2023-06-25,2023-W25,139
hospital admissions,BE,2023-06-18,2023-W24,211
hospital admissions,BE,2023-06-11,2023-W23,238
hospital admissions,BE,2023-06-04,2023-W22,306
hospital admissions,BE,2023-05-28,2023-W21,394
hospital admissions,BE,2023-05-21,2023-W20,549
hospital admissions,BE,2023-05-14,2023-W19,655
hospital admissions,BE,2023-05-07,2023-W18,830
hospital admissions,BE,2023-04-30,2023-W17,960
hospital admissions,BE,2023-04-23,2023-W16,1184
hospital admissions,BE,2023-04-16,2023-W15,1349
hospital admissions,BE,2023-04-09,2023-W14,1507
hospital admissions,BE,2023-04-02,2023-W13,1954
hospital admissions,BE,2023-03-26,2023-W12,2237
hospital admissions,BE,2023-03-19,2023-W11,2347
hospital admissions,BE,2023-03-12,2023-W10,1981
hospital admissions,BE,2023-03-05,2023-W09,1735
hospital admissions,BE,2023-02-26,2023-W08,1540
hospital admissions,BE,2023-02-19,2023-W07,1215
hospital admissions,BE,2023-02-12,2023-W06,950
hospital admissions,BE,2023-02-05,2023-W05,808
hospital admissions,BE,2023-01-29,2023-W04,663
hospital admissions,BE,2023-01-22,2023-W03,857
hospital admissions,BE,2023-01-15,2023-W02,1086
hospital admissions,BE,2023-01-08,2023-W01,1594
hospital admissions,BE,2023-01-01,2022-W52,799
hospital admissions,BE,2022-12-25,2022-W51,932
hospital admissions,BE,2022-12-18,2022-W50,890
hospital admissions,BE,2022-12-11,2022-W49,666
hospital admissions,BE,2022-12-04,2022-W48,533
hospital admissions,BE,2022-11-27,2022-W47,416
hospital admissions,BE,2022-11-20,2022-W46,330
hospital admissions,BE,2022-11-13,2022-W45,363
hospital admissions,BE,2022-11-06,2022-W44,344
hospital admissions,BE,2022-10-30,2022-W43,512
hospital admissions,BE,2022-10-23,2022-W42,747
hospital admissions,BE,2022-10-16,2022-W41,742
hospital admissions,BE,2022-10-09,2022-W40,772
hospital admissions,BE,2022-10-02,2022-W39,651
hospital admissions,BE,2022-09-25,2022-W38,487
